FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
586;DY25;2;6397;2020;printemps;35,845833;-6,55;35,84583300000;-6,55000000000;0,00000000000;0;0,00000000000;0;36,33800000000;19,57000000000;5,09500000000;7,99970000000
587;EZ25;1;6399;2020;printemps;35,840278;-6,35833;35,84027800000;-6,35833000000;0,00000000000;0;0,00000000000;0;36,34100000000;19,59000000000;5,09500000000;7,99980000000
588;EA25;5;6400;2020;printemps;35,834167;-6,16667;35,83416700000;-6,16667000000;0,00000000000;0;0,00000000000;0;36,34400000000;19,59000000000;5,09600000000;7,99980000000
589;EB25;3;6403;2020;printemps;35,844722;-6,144722;35,84472200000;-6,14472200000;0,00000000000;0;83,37000000000;1;36,34800000000;19,50000000000;5,09800000000;7,99990000000
590;DW26;2;6406;2020;printemps;35,692778;-6,95;35,69277800000;-6,95000000000;0,00000000000;0;41,68000000000;1;36,32400000000;19,30000000000;5,01700000000;7,99950000000
591;DX26;3;6407;2020;printemps;35,6875;-6,75556;35,68750000000;-6,75556000000;0,00000000000;0;57,65000000000;1;36,32900000000;19,46000000000;5,00800000000;7,99960000000
592;DY26;10;6409;2020;printemps;35,670833;-6,5175;35,67083300000;-6,51750000000;0,00000000000;0;0,00000000000;0;36,32800000000;19,40000000000;5,09500000000;7,99950000000
593;EZ26;3;6418;2020;printemps;35,769167;-6,347778;35,76916700000;-6,34777800000;0,00000000000;0;0,00000000000;0;36,33100000000;19,93000000000;5,01700000000;7,99980000000
594;EA26;33;6420;2020;printemps;35,724167;-6,233056;35,72416700000;-6,23305600000;0,00000000000;0;101,11000000000;1;36,33500000000;19,94000000000;5,02000000000;7,99980000000
595;EB26;7;6441;2020;printemps;35,832778;-6,158611;35,83277800000;-6,15861100000;0,00000000000;0;43,46000000000;1;36,32600000000;19,39000000000;5,01200000000;7,99950000000
596;EC26;8;6445;2020;printemps;35,816667;-5,959167;35,81666700000;-5,95916700000;339,19000000000;1;212,14000000000;1;36,33300000000;19,79000000000;5,01800000000;7,99970000000
597;DW27;7;6450;2020;printemps;35,595278;-6,99444;35,59527800000;-6,99444000000;39,07000000000;1;0,00000000000;1;36,33300000000;19,50000000000;5,09400000000;7,99960000000
598;DX27;5;6453;2020;printemps;35,566389;-6,78889;35,56638900000;-6,78889000000;28,65000000000;1;0,00000000000;1;36,32500000000;19,06000000000;5,00600000000;7,99960000000
599;DY27;19;6455;2020;printemps;35,658333;-6,598889;35,65833300000;-6,59888900000;0,00000000000;0;0,00000000000;0;36,33500000000;19,04000000000;5,00800000000;7,99940000000
600;EZ27;16;6470;2020;printemps;35,613889;-6,347778;35,61388900000;-6,34777800000;0,00000000000;0;0,00000000000;0;36,33200000000;19,43000000000;5,01000000000;7,99970000000
601;EA27;24;6481;2020;printemps;35,594722;-6,304167;35,59472200000;-6,30416700000;0,00000000000;0;176,49000000000;1;36,35000000000;19,32000000000;5,00600000000;7,99990000000
602;EB27;13;6493;2020;printemps;35,556389;-6,1075;35,55638900000;-6,10750000000;0,00000000000;0;511,74000000000;1;36,34200000000;19,59000000000;5,09600000000;7,99980000000
603;EC27;3;6499;2020;printemps;35,660833;-5,993056;35,66083300000;-5,99305600000;25,18000000000;1;0,00000000000;1;36,34100000000;19,02000000000;5,02000000000;7,99990000000
604;DX28;2;6500;2020;printemps;35,48056;-6,726389;35,48056000000;-6,72638900000;0,00000000000;0;0,00000000000;0;36,34200000000;19,59000000000;5,09800000000;7,99970000000
605;DY28;20;6502;2020;printemps;35,341389;-6,503889;35,34138900000;-6,50388900000;0,00000000000;0;0,00000000000;0;36,34400000000;19,10000000000;5,01900000000;7,99990000000
606;EZ28;9;6522;2020;printemps;35,49;-6,450833;35,49000000000;-6,45083300000;0,00000000000;0;675,82000000000;1;36,32500000000;19,35000000000;5,01400000000;7,99950000000
607;EA28;15;6531;2020;printemps;35,445278;-6,333333;35,44527800000;-6,33333300000;72,27000000000;1;45,20000000000;1;36,32300000000;19,17000000000;5,02200000000;7,99960000000
